Category,Title,Description,ImageName,Link
Institutional,PP Savani University Campus,Master Plan and Landscape design of 100 Acres campus premise. Supervising development of Entry area and Ecological up-gradation.,1st.jpg,
Institutional,Saurashtra University Campus,Master planning of 410 Acres university premises, land suitability and zoning, road networking and water harvesting.,2nd.jpg,
Institutional,V.V.P. Engineering College,Landscape master plan for 45 Acres Institutional campus. Recognized by I.I.A as outstanding institutional campus.,3rd.jpg,
Institutional,Indubhai Parekh School of Architecture,Landscape master plan for 5 Acres Institutional campus including assembly courts and amphitheatre.,4th.jpg,
Institutional,Gyanoday Tirthkshetra Nareli,Master plan for 210 Acres Pilgrim site based on jain mythological principles.,5th.jpg,
Institutional,Science and Technology Park,Master Plan for 350 hectares adjoining Science City. Urban Design Guidelines for built environment.,6th.jpg,
Institutional,Proposed Science City,Conceptual Plan for proposed science city (100 hectares area) and Urban design guidelines.,7th.jpg,
Institutional,Impact of Science City,Master Plan for surrounding development covering approximately 3000 hectares.,8th.jpg,
Heritage,Nau Chauki Pal,Vision Plan for Conservation and Landscape design of 10 Acres Lake Front Garden and its Environs.,5th.jpg,http://www.mansee.in/wp-content/uploads/2018/02/edc-ncp-rajsamand.pdf
Heritage,Conservation of Nagaur Fort,Documentation of Nagaur Palace-Fort complex. Renovation plan to convert it into palace Hotel and Museum.,6th.jpg,
Heritage,Somnath Temple Area Upgradation,Conceptual plan of Somnath Temple precinct. Master plan of approach road and beach area development.,7th.jpg,
Heritage,Dwarkadhish Temple Precinct,Design Proposal for Improvement of the Physical Environment of the Dwarkadhish temple precinct.,8th.jpg,
Heritage,Redevelopment of Gomti ghat,Development of ghats and specific details worked out for execution to tackle back-water.,1st.jpg,
Heritage,New Approach Road Dwarka,Design Proposal for land reclamation for promenade along Gomti river for direct approach to the temple.,2nd.jpg,
Residential,Rainbow Gardens II,Master Plan, Landscape and Architectural design of 10 Acres site for 70 bungalows.,1st.jpg,
Residential,RK Castle Resort,Master Plan, Architecture and Landscape design of 20 Acres hilly site for Fortress like Palace premise.,2nd.jpg,
Residential,Hotel Khirsara Palace,Master Plan, Conservation, Landscape and Architectural design of 15 Acres Fortress Palace premise.,8th.jpg,http://www.khirasarapalace.in/gallery.html
Residential,The Gir Relish,Master Plan and Architectural design of 800 Acres site for Eco-Tourism including farmhouses.,3rd.jpg,
Residential,Serenade Villa Rawal,Development of 3 Acres weekend house with multiple terraces, party lawns, and fishing pond.,4th.jpg,
Residential,Rainbow Residency I,Master Plan of 5 Acres site for 24 boundary less bungalows clustered around combined gardens.,5th.jpg,
Residential,Arham Kutir Cottages,Master planning and layout of 93 Acres for residential development including cottages and amenities.,6th.jpg,
Residential,Valley View Farms,Master Planning of 37 Acres for residential development. Design of clubhouse and residential units.,7th.jpg,
Environmental,Development of Patan Village,Environmental up-gradation plan for the lake and its surroundings including capacity building.,3rd.jpg,
Environmental,Lighthouse Beach Area,Feasibility, Conceptual plan and development guidelines for city level recreation.,4th.jpg,
Environmental,Veraval Port Improvement Plan,Rapid Environment Impact Assessment of harbour and fish processing area.,1st.jpg,
Environmental,Assessment of Veraval Harbour,Primary survey and Development Proposal for the physical improvement of Veraval-Patan town.,2nd.jpg,
Environmental,Rapid EIA of Sabarmati River Front,Survey of existing Public Institutions and Land Use Analysis with stress on nature of transformation.,5th.jpg,
Environmental,Building Status Assessment,Assisted experts in preparation of format to categorize building damages after earthquake.,6th.jpg,
Environmental,Yashodadham Rehabilitation,Master plan and development guidelines for Yashodhadham covering 14 hectares.,7th.jpg,
Environmental,Rehabilitation of Social Amenities,Design of primary health centre, schools, and water supply network in 26 earthquake affected villages.,8th.jpg,
Environmental,Damage Assessment,Reconnaissance survey and documentation of damages in 26 earthquake affected villages.,1st.jpg,
Environmental,R.K. Marbles New Morwad Mines,Landscape design of a marble dumpyard reclamation site including corporate office and sewage treatment.,2nd.jpg,
Urban,Reliance Rural Retail Hub,Master plan of 10 Acres site for Modular Layout of rural retail hubs (8000 units) across India.,5th.jpg,
Urban,Development Strategies for 5 towns,Study of Junagadh, Somnath, Porbandar, Palitana & Dwarka with stress on development trends.,6th.jpg,
Urban,Dwarka Urban Design Initiative,Reconnaissance study of city of Dwarka. Recommendations for improvement and measures for tourism.,7th.jpg,
